category,n_queries,n_valid,faithfulness,answer_relevancy
OVERALL,200,198,0.9087,0.654
"Korupsi, Gratifikasi, Suap",15,15,0.9528,0.7316
Pembunuhan,15,15,0.8664,0.7334
Penganiayaan,15,15,0.9786,0.6731
Penghinaan/Pencemaran Nama Baik,15,15,0.9204,0.5806
Penyalahgunaan Jabatan,15,15,0.8423,0.6653
Penyebaran Konten Illegal,15,15,0.9299,0.6679
Produk Ilegal (Narkotika),15,15,0.8683,0.6438
Bahan Berbahaya,15,15,0.9265,0.6904
Ujaran Kebencian,15,14,0.9742,0.5903
Pencurian,15,15,0.8407,0.652
Penipuan/Curang,15,15,0.8217,0.6358
Ancaman/Pemerasan,15,14,0.9053,0.5423
Lainnya,20,20,0.9858,0.6961
