category,n_queries,n_valid,faithfulness,answer_relevancy
OVERALL,200,194,0.8868,0.6549
"Korupsi, Gratifikasi, Suap",15,15,0.9289,0.7707
Pembunuhan,15,15,0.9762,0.7377
Penganiayaan,15,13,0.9727,0.6802
Penghinaan/Pencemaran Nama Baik,15,15,0.7056,0.6831
Penyalahgunaan Jabatan,15,15,0.881,0.664
Penyebaran Konten Illegal,15,15,0.8855,0.6777
Produk Ilegal (Narkotika),15,15,0.8201,0.5696
Bahan Berbahaya,15,14,0.8818,0.6154
Ujaran Kebencian,15,13,0.8915,0.5929
Pencurian,15,15,0.9256,0.6502
Penipuan/Curang,15,15,0.844,0.5903
Ancaman/Pemerasan,15,14,0.9109,0.5492
Lainnya,20,20,0.9044,0.7326
