category,n_queries,n_valid,faithfulness,answer_relevancy
OVERALL,200,194,0.8847,0.6546
"Korupsi, Gratifikasi, Suap",15,15,0.9289,0.7728
Pembunuhan,15,15,0.9435,0.7377
Penganiayaan,15,13,0.9727,0.6802
Penghinaan/Pencemaran Nama Baik,15,15,0.6854,0.6831
Penyalahgunaan Jabatan,15,15,0.9077,0.664
Penyebaran Konten Illegal,15,15,0.9054,0.67
Produk Ilegal (Narkotika),15,15,0.8362,0.5696
Bahan Berbahaya,15,14,0.886,0.6149
Ujaran Kebencian,15,13,0.886,0.5929
Pencurian,15,15,0.9069,0.6493
Penipuan/Curang,15,15,0.844,0.5933
Ancaman/Pemerasan,15,14,0.9145,0.5494
Lainnya,20,20,0.8842,0.733
