category,n_queries,n_valid,faithfulness,answer_relevancy
OVERALL,200,197,0.9153,0.6666
"Korupsi, Gratifikasi, Suap",15,14,0.8576,0.6184
Pembunuhan,15,15,0.9109,0.7808
Penganiayaan,15,15,0.9694,0.6706
Penghinaan/Pencemaran Nama Baik,15,15,0.8335,0.6223
Penyalahgunaan Jabatan,15,15,0.9905,0.7661
Penyebaran Konten Illegal,15,15,0.9381,0.6836
Produk Ilegal (Narkotika),15,15,0.8334,0.577
Bahan Berbahaya,15,15,0.9075,0.6481
Ujaran Kebencian,15,14,0.9751,0.6448
Pencurian,15,14,0.9186,0.714
Penipuan/Curang,15,15,0.8697,0.5778
Ancaman/Pemerasan,15,15,0.9576,0.6277
Lainnya,20,20,0.9375,0.7346
