category,n_queries,n_valid,faithfulness,answer_relevancy
OVERALL,200,197,0.9081,0.6669
"Korupsi, Gratifikasi, Suap",15,14,0.8576,0.6204
Pembunuhan,15,15,0.8793,0.7824
Penganiayaan,15,15,0.9554,0.6701
Penghinaan/Pencemaran Nama Baik,15,15,0.8216,0.6244
Penyalahgunaan Jabatan,15,15,0.9905,0.7661
Penyebaran Konten Illegal,15,15,0.956,0.6836
Produk Ilegal (Narkotika),15,15,0.8338,0.577
Bahan Berbahaya,15,15,0.8954,0.6481
Ujaran Kebencian,15,14,0.9559,0.644
Pencurian,15,14,0.8998,0.7135
Penipuan/Curang,15,15,0.8552,0.5778
Ancaman/Pemerasan,15,15,0.9671,0.6288
Lainnya,20,20,0.9375,0.7337
