category,n_queries,n_valid,faithfulness,answer_relevancy
OVERALL,200,197,0.9078,0.6668
"Korupsi, Gratifikasi, Suap",15,14,0.8576,0.6204
Pembunuhan,15,15,0.8622,0.7811
Penganiayaan,15,15,0.9619,0.6706
Penghinaan/Pencemaran Nama Baik,15,15,0.8216,0.6223
Penyalahgunaan Jabatan,15,15,0.9898,0.7661
Penyebaran Konten Illegal,15,15,0.951,0.6836
Produk Ilegal (Narkotika),15,15,0.8619,0.5772
Bahan Berbahaya,15,15,0.9027,0.6481
Ujaran Kebencian,15,14,0.9716,0.6457
Pencurian,15,14,0.8796,0.7141
Penipuan/Curang,15,15,0.8468,0.5778
Ancaman/Pemerasan,15,15,0.9576,0.6277
Lainnya,20,20,0.9367,0.7334
